Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero,Demand_MW_SEL,Demand_MW_25_SEL,Demand_MW_30_SEL,Demand_MW_35_SEL,Demand_MW_PUS,Demand_MW_25_PUS,Demand_MW_30_PUS,Demand_MW_35_PUS,Demand_MW_TAE,Demand_MW_25_TAE,Demand_MW_30_TAE,Demand_MW_35_TAE,Demand_MW_INC,Demand_MW_25_INC,Demand_MW_30_INC,Demand_MW_35_INC,Demand_MW_KWJ,Demand_MW_25_KWJ,Demand_MW_30_KWJ,Demand_MW_35_KWJ,Demand_MW_USN,Demand_MW_25_USN,Demand_MW_30_USN,Demand_MW_35_USN,Demand_MW_SJG,Demand_MW_25_SJG,Demand_MW_30_SJG,Demand_MW_35_SJG,Demand_MW_GGI,Demand_MW_25_GGI,Demand_MW_30_GGI,Demand_MW_35_GGI,Demand_MW_GWN,Demand_MW_25_GWN,Demand_MW_30_GWN,Demand_MW_35_GWN,Demand_MW_CNA,Demand_MW_25_CNA,Demand_MW_30_CNA,Demand_MW_35_CNA,Demand_MW_CNB,Demand_MW_25_CNB,Demand_MW_30_CNB,Demand_MW_35_CNB,Demand_MW_DJJ,Demand_MW_25_DJJ,Demand_MW_30_DJJ,Demand_MW_35_DJJ,Demand_MW_JNB,Demand_MW_25_JNB,Demand_MW_30_JNB,Demand_MW_35_JNB,Demand_MW_JNA,Demand_MW_25_JNA,Demand_MW_30_JNA,Demand_MW_35_JNA,Demand_MW_GNB,Demand_MW_25_GNB,Demand_MW_30_GNB,Demand_MW_35_GNB,Demand_MW_GNA,Demand_MW_25_GNA,Demand_MW_30_GNA,Demand_MW_35_GNA,Demand_MW_JEJ,Demand_MW_25_JEJ,Demand_MW_30_JEJ,Demand_MW_35_JEJ,Demand_heat_SEL,Demand_heat_25_SEL,Demand_heat_30_SEL,Demand_heat_35_SEL,Demand_heat_PUS,Demand_heat_25_PUS,Demand_heat_30_PUS,Demand_heat_35_PUS,Demand_heat_TAE,Demand_heat_25_TAE,Demand_heat_30_TAE,Demand_heat_35_TAE,Demand_heat_INC,Demand_heat_25_INC,Demand_heat_30_INC,Demand_heat_35_INC,Demand_heat_KWJ,Demand_heat_25_KWJ,Demand_heat_30_KWJ,Demand_heat_35_KWJ,Demand_heat_USN,Demand_heat_25_USN,Demand_heat_30_USN,Demand_heat_35_USN,Demand_heat_SJG,Demand_heat_25_SJG,Demand_heat_30_SJG,Demand_heat_35_SJG,Demand_heat_GGI,Demand_heat_25_GGI,Demand_heat_30_GGI,Demand_heat_35_GGI,Demand_heat_GWN,Demand_heat_25_GWN,Demand_heat_30_GWN,Demand_heat_35_GWN,Demand_heat_CNA,Demand_heat_25_CNA,Demand_heat_30_CNA,Demand_heat_35_CNA,Demand_heat_CNB,Demand_heat_25_CNB,Demand_heat_30_CNB,Demand_heat_35_CNB,Demand_heat_DJJ,Demand_heat_25_DJJ,Demand_heat_30_DJJ,Demand_heat_35_DJJ,Demand_heat_JNB,Demand_heat_25_JNB,Demand_heat_30_JNB,Demand_heat_35_JNB,Demand_heat_JNA,Demand_heat_25_JNA,Demand_heat_30_JNA,Demand_heat_35_JNA,Demand_heat_GNB,Demand_heat_25_GNB,Demand_heat_30_GNB,Demand_heat_35_GNB,Demand_heat_GNA,Demand_heat_25_GNA,Demand_heat_30_GNA,Demand_heat_35_GNA,Demand_heat_JEJ,Demand_heat_25_JEJ,Demand_heat_30_JEJ,Demand_heat_35_JEJ
5375,66412.2,70411.47,73967.03,76686.18,8700.0,0,13575.22,14392.7,15119.49,15675.3,3795.99,4024.59,4227.81,4383.24,1760.17,1866.16,1960.4,2032.47,3551.93,3765.82,3955.98,4101.41,1554.61,1648.23,1731.46,1795.11,1902.73,2017.31,2119.18,2197.09,1354.81,1436.4,1508.93,1564.4,17932.6,19012.49,19972.56,20706.78,1729.85,1834.01,1926.63,1997.45,2631.71,2790.19,2931.09,3038.84,2496.17,2646.49,2780.13,2882.33,1225.47,1299.27,1364.87,1415.05,2309.45,2448.52,2572.17,2666.72,1953.41,2071.04,2175.62,2255.6,3924.29,4160.61,4370.71,4531.38,3932.62,4169.44,4379.98,4541.0,781.16,828.2,870.03,902.01,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5376,66786.21,70808.01,74383.58,77118.05,8700.0,0,13651.67,14473.76,15204.63,15763.58,3817.37,4047.25,4251.62,4407.92,1770.08,1876.67,1971.44,2043.91,3571.93,3787.03,3978.26,4124.51,1563.37,1657.51,1741.21,1805.22,1913.45,2028.68,2131.12,2209.46,1362.44,1444.49,1517.43,1573.21,18033.59,19119.56,20085.03,20823.39,1739.59,1844.34,1937.48,2008.7,2646.54,2805.91,2947.6,3055.95,2510.23,2661.39,2795.78,2898.56,1232.37,1306.58,1372.56,1423.02,2322.46,2462.31,2586.65,2681.74,1964.41,2082.7,2187.87,2268.3,3946.39,4184.04,4395.32,4556.9,3954.77,4192.92,4404.65,4566.57,785.56,832.87,874.93,907.09,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5377,59450.77,63030.83,66213.68,68647.81,8700.0,0,12152.24,12884.04,13534.64,14032.19,3398.09,3602.72,3784.65,3923.78,1575.66,1670.55,1754.91,1819.42,3179.61,3371.08,3541.31,3671.49,1391.65,1475.46,1549.96,1606.94,1703.29,1805.86,1897.05,1966.79,1212.8,1285.83,1350.76,1400.42,16052.88,17019.57,17879.0,18536.26,1548.52,1641.77,1724.67,1788.08,2355.85,2497.72,2623.85,2720.3,2234.52,2369.08,2488.71,2580.2,1097.01,1163.07,1221.81,1266.72,2067.37,2191.87,2302.55,2387.19,1748.65,1853.95,1947.57,2019.16,3512.94,3724.49,3912.56,4056.4,3520.4,3732.39,3920.86,4065.0,699.28,741.39,778.83,807.46,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5378,57274.78,60723.81,63790.16,66135.2,8700.0,0,11707.45,12412.46,13039.25,13518.59,3273.72,3470.86,3646.12,3780.16,1517.99,1609.4,1690.67,1752.83,3063.23,3247.69,3411.69,3537.11,1340.72,1421.45,1493.23,1548.13,1640.94,1739.76,1827.61,1894.8,1168.41,1238.77,1301.32,1349.16,15465.32,16396.62,17224.6,17857.81,1491.84,1581.68,1661.55,1722.63,2269.63,2406.3,2527.81,2620.74,2152.73,2282.37,2397.62,2485.76,1056.86,1120.5,1177.09,1220.36,1991.7,2111.64,2218.27,2299.82,1684.64,1786.09,1876.28,1945.26,3384.36,3588.17,3769.36,3907.93,3391.54,3595.78,3777.35,3916.22,673.69,714.25,750.32,777.9,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5379,55919.7,59287.13,62280.94,64570.49,8700.0,0,11430.46,12118.79,12730.75,13198.75,3196.26,3388.74,3559.86,3690.73,1482.08,1571.33,1650.67,1711.36,2990.76,3170.86,3330.97,3453.43,1309.0,1387.82,1457.9,1511.5,1602.12,1698.6,1784.37,1849.97,1140.76,1209.46,1270.53,1317.24,15099.42,16008.69,16817.08,17435.31,1456.55,1544.26,1622.24,1681.87,2215.93,2349.37,2468.0,2558.73,2101.8,2228.37,2340.89,2426.95,1031.86,1093.99,1149.24,1191.48,1944.58,2061.68,2165.79,2245.41,1644.79,1743.83,1831.89,1899.23,3304.29,3503.27,3680.18,3815.47,3311.3,3510.71,3687.99,3823.56,657.75,697.36,732.57,759.5,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5380,55237.85,58564.21,61521.52,63783.15,8700.0,0,11291.08,11971.02,12575.52,13037.82,3157.29,3347.42,3516.45,3645.72,1464.01,1552.17,1630.55,1690.49,2954.29,3132.19,3290.36,3411.32,1293.04,1370.9,1440.13,1493.07,1582.58,1677.89,1762.61,1827.41,1126.85,1194.71,1255.04,1301.18,14915.31,15813.49,16612.02,17222.71,1438.79,1525.43,1602.46,1661.37,2188.91,2320.72,2437.91,2527.53,2076.17,2201.2,2312.35,2397.36,1019.27,1080.65,1135.22,1176.96,1920.87,2036.54,2139.38,2218.03,1624.73,1722.57,1809.55,1876.08,3264.0,3460.56,3635.3,3768.94,3270.93,3467.9,3643.02,3776.94,649.73,688.85,723.64,750.24,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5381,55160.17,58481.86,61435.0,63693.46,8700.0,0,11275.21,11954.19,12557.83,13019.48,3152.85,3342.71,3511.51,3640.6,1461.95,1549.98,1628.25,1688.11,2950.13,3127.79,3285.73,3406.52,1291.22,1368.97,1438.1,1490.97,1580.36,1675.53,1760.14,1824.84,1125.27,1193.03,1253.28,1299.35,14894.33,15791.25,16588.66,17198.49,1436.76,1523.28,1600.2,1659.03,2185.83,2317.46,2434.48,2523.98,2073.25,2198.1,2309.1,2393.98,1017.84,1079.13,1133.63,1175.3,1918.17,2033.68,2136.37,2214.91,1622.45,1720.15,1807.01,1873.44,3259.41,3455.69,3630.19,3763.64,3266.33,3463.02,3637.89,3771.63,648.81,687.88,722.62,749.18,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5382,55692.42,59046.16,62027.8,64308.04,8700.0,0,11384.0,12069.53,12679.01,13145.11,3183.27,3374.97,3545.39,3675.73,1476.05,1564.94,1643.97,1704.4,2978.6,3157.97,3317.44,3439.39,1303.68,1382.18,1451.98,1505.36,1595.61,1691.69,1777.12,1842.45,1136.13,1204.54,1265.37,1311.89,15038.05,15943.63,16748.73,17364.44,1450.63,1537.98,1615.64,1675.04,2206.92,2339.82,2457.97,2548.33,2093.26,2219.31,2331.38,2417.08,1027.66,1089.55,1144.57,1186.64,1936.68,2053.3,2156.99,2236.28,1638.1,1736.75,1824.45,1891.52,3290.86,3489.03,3665.22,3799.96,3297.84,3496.44,3673.0,3808.02,655.07,694.52,729.59,756.41,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5383,56463.46,59863.63,62886.55,65198.37,8700.0,0,11541.61,12236.63,12854.54,13327.1,3227.34,3421.69,3594.48,3726.61,1496.49,1586.61,1666.73,1728.0,3019.84,3201.69,3363.36,3487.01,1321.73,1401.32,1472.08,1526.2,1617.7,1715.12,1801.72,1867.96,1151.86,1221.22,1282.89,1330.05,15246.25,16164.36,16980.61,17604.84,1470.71,1559.27,1638.01,1698.23,2237.48,2372.21,2492.0,2583.61,2122.24,2250.04,2363.66,2450.55,1041.89,1104.63,1160.41,1203.07,1963.49,2081.73,2186.85,2267.24,1660.78,1760.79,1849.7,1917.7,3336.42,3537.34,3715.96,3852.57,3343.5,3544.84,3723.85,3860.74,664.14,704.14,739.69,766.89,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5384,56939.13,60367.94,63416.33,65747.62,8700.0,0,11638.84,12339.72,12962.83,13439.37,3254.53,3450.52,3624.76,3758.01,1509.1,1599.97,1680.77,1742.55,3045.28,3228.66,3391.7,3516.38,1332.86,1413.12,1484.48,1539.05,1631.33,1729.56,1816.9,1883.69,1161.56,1231.51,1293.7,1341.25,15374.69,16300.53,17123.66,17753.15,1483.1,1572.41,1651.81,1712.53,2256.32,2392.2,2513.0,2605.38,2140.12,2268.99,2383.57,2471.19,1050.67,1113.94,1170.19,1213.21,1980.03,2099.27,2205.27,2286.34,1674.77,1775.62,1865.29,1933.86,3364.53,3567.14,3747.27,3885.02,3371.67,3574.71,3755.22,3893.27,669.74,710.07,745.92,773.35,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5385,56997.63,60429.96,63481.48,65815.17,8700.0,0,11650.8,12352.4,12976.15,13453.18,3257.88,3454.06,3628.48,3761.87,1510.65,1601.62,1682.49,1744.34,3048.41,3231.98,3395.18,3520.0,1334.23,1414.58,1486.01,1540.64,1633.0,1731.34,1818.77,1885.63,1162.75,1232.77,1295.02,1342.63,15390.48,16317.28,17141.25,17771.39,1484.62,1574.03,1653.51,1714.29,2258.64,2394.66,2515.58,2608.06,2142.32,2271.32,2386.02,2473.73,1051.75,1115.08,1171.39,1214.45,1982.06,2101.42,2207.54,2288.69,1676.49,1777.45,1867.2,1935.84,3367.99,3570.8,3751.12,3889.02,3375.13,3578.38,3759.08,3897.27,670.43,710.8,746.69,774.14,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5386,54505.17,57787.41,60705.49,62937.12,8700.0,0,11141.32,11812.24,12408.72,12864.88,3115.41,3303.02,3469.81,3597.37,1444.59,1531.58,1608.92,1668.07,2915.1,3090.65,3246.71,3366.07,1275.89,1352.72,1421.03,1473.26,1561.59,1655.63,1739.23,1803.17,1111.91,1178.87,1238.39,1283.92,14717.47,15603.74,16391.68,16994.26,1419.7,1505.19,1581.2,1639.33,2159.87,2289.94,2405.57,2494.01,2048.63,2172.0,2281.68,2365.56,1005.75,1066.32,1120.17,1161.35,1895.39,2009.53,2111.0,2188.61,1603.18,1699.72,1785.55,1851.19,3220.71,3414.66,3587.08,3718.95,3227.54,3421.9,3594.69,3726.84,641.11,679.72,714.04,740.29,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5387,54169.52,57431.55,60331.66,62549.55,8700.0,0,11072.71,11739.49,12332.3,12785.66,3096.23,3282.68,3448.44,3575.21,1435.69,1522.15,1599.01,1657.79,2897.15,3071.61,3226.72,3345.34,1268.03,1344.39,1412.27,1464.19,1551.98,1645.44,1728.52,1792.07,1105.06,1171.61,1230.77,1276.01,14626.84,15507.65,16290.74,16889.61,1410.96,1495.93,1571.46,1629.23,2146.57,2275.84,2390.76,2478.65,2036.02,2158.62,2267.63,2350.99,999.56,1059.75,1113.27,1154.19,1883.72,1997.15,2098.0,2175.13,1593.31,1689.25,1774.56,1839.79,3200.87,3393.63,3564.99,3696.05,3207.67,3400.83,3572.56,3703.89,637.16,675.53,709.64,735.73,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5388,53620.0,56848.94,59719.63,61915.03,8700.0,0,10960.38,11620.41,12207.2,12655.96,3064.82,3249.38,3413.46,3538.94,1421.13,1506.71,1582.79,1640.98,2867.76,3040.46,3193.99,3311.4,1255.16,1330.75,1397.95,1449.34,1536.23,1628.74,1710.99,1773.89,1093.85,1159.72,1218.28,1263.07,14478.46,15350.34,16125.48,16718.28,1396.65,1480.75,1555.52,1612.71,2124.8,2252.75,2366.51,2453.5,2015.36,2136.73,2244.62,2327.14,989.42,1049.0,1101.97,1142.49,1864.61,1976.89,2076.72,2153.06,1577.14,1672.12,1756.55,1821.13,3168.4,3359.2,3528.83,3658.56,3175.13,3366.33,3536.32,3666.32,630.7,668.68,702.44,728.27,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5389,53739.88,56976.04,59853.15,62053.45,8700.0,0,10984.89,11646.38,12234.49,12684.25,3071.67,3256.64,3421.09,3546.86,1424.31,1510.08,1586.33,1644.65,2874.17,3047.25,3201.13,3318.81,1257.97,1333.72,1401.07,1452.58,1539.67,1632.38,1714.81,1777.85,1096.3,1162.31,1221.01,1265.89,14510.83,15384.65,16161.53,16755.65,1399.77,1484.06,1559.0,1616.31,2129.55,2257.79,2371.8,2458.99,2019.87,2141.5,2249.64,2332.34,991.63,1051.35,1104.44,1145.04,1868.78,1981.31,2081.36,2157.88,1580.67,1675.86,1760.48,1825.2,3175.49,3366.71,3536.72,3666.74,3182.22,3373.85,3544.22,3674.51,632.11,670.17,704.01,729.89,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5390,55432.53,58770.62,61738.34,64007.95,8700.0,0,11330.88,12013.21,12619.84,13083.77,3168.42,3359.22,3528.85,3658.57,1469.17,1557.64,1636.29,1696.45,2964.7,3143.23,3301.96,3423.34,1297.59,1375.73,1445.2,1498.33,1588.16,1683.8,1768.83,1833.85,1130.83,1198.92,1259.46,1305.76,14967.88,15869.22,16670.57,17283.41,1443.86,1530.8,1608.1,1667.22,2196.62,2328.9,2446.5,2536.44,2083.49,2208.95,2320.5,2405.81,1022.87,1084.46,1139.22,1181.1,1927.64,2043.72,2146.92,2225.84,1630.46,1728.64,1815.93,1882.69,3275.51,3472.75,3648.12,3782.23,3282.45,3480.12,3655.86,3790.25,652.02,691.28,726.19,752.88,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5391,57027.36,60461.48,63514.59,65849.5,8700.0,0,11656.87,12358.84,12982.92,13460.19,3259.57,3455.86,3630.37,3763.83,1511.44,1602.45,1683.37,1745.25,3050.0,3233.66,3396.95,3521.83,1334.93,1415.31,1486.78,1541.44,1633.85,1732.24,1819.72,1886.61,1163.36,1233.42,1295.7,1343.33,15398.51,16325.79,17150.19,17780.66,1485.4,1574.85,1654.37,1715.19,2259.82,2395.91,2516.89,2609.42,2143.43,2272.51,2387.26,2475.02,1052.3,1115.66,1172.0,1215.09,1983.1,2102.52,2208.69,2289.88,1677.37,1778.38,1868.18,1936.85,3369.74,3572.67,3753.07,3891.04,3376.89,3580.25,3761.04,3899.3,670.78,711.17,747.08,774.54,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
5392,58839.88,62383.15,65533.3,67942.42,8700.0,0,12027.37,12751.65,13395.56,13888.01,3363.18,3565.7,3745.76,3883.46,1559.47,1653.38,1736.87,1800.72,3146.94,3336.44,3504.92,3633.77,1377.35,1460.3,1534.04,1590.43,1685.78,1787.3,1877.55,1946.58,1200.34,1272.62,1336.88,1386.03,15887.93,16844.68,17695.28,18345.79,1532.61,1624.9,1706.95,1769.7,2331.65,2472.06,2596.89,2692.35,2211.56,2344.74,2463.14,2553.69,1085.74,1151.12,1209.25,1253.71,2046.13,2169.34,2278.89,2362.66,1730.68,1834.9,1927.55,1998.41,3476.85,3686.22,3872.36,4014.71,3484.22,3694.04,3880.58,4023.23,692.09,733.77,770.83,799.16,1778.35,1778.35,1778.35,1778.35,497.28,497.28,497.28,497.28,230.58,230.58,230.58,230.58,465.3,465.3,465.3,465.3,203.65,203.65,203.65,203.65,249.26,249.26,249.26,249.26,177.48,177.48,177.48,177.48,2349.17,2349.17,2349.17,2349.17,226.61,226.61,226.61,226.61,344.75,344.75,344.75,344.75,327.0,327.0,327.0,327.0,160.54,160.54,160.54,160.54,302.54,302.54,302.54,302.54,255.9,255.9,255.9,255.9,514.08,514.08,514.08,514.08,515.17,515.17,515.17,515.17,102.33,102.33,102.33,102.33
