Type,id,location,edges--steam_edge--commodity,edges--steam_edge--unidirectional,edges--steam_edge--has_capacity,edges--steam_edge--uc,edges--steam_edge--integer_decisions,edges--steam_edge--lifetime,edges--steam_edge--constraints--CapacityConstraint,edges--steam_edge--can_expand,edges--steam_edge--can_retire,edges--steam_edge--end_vertex,edges--steam_edge--investment_cost,edges--steam_edge--existing_capacity,edges--steam_edge--fixed_om_cost,edges--steam_edge--variable_om_cost,edges--steam_edge--capacity_size,edges--steam_edge--startup_cost,edges--steam_edge--startup_fuel_consumption,edges--steam_edge--min_up_time,edges--steam_edge--min_down_time,edges--steam_edge--ramp_up_fraction,edges--steam_edge--ramp_down_fraction,edges--steam_edge--min_flow_fraction,edges--fuel_edge--commodity,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--start_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--end_vertex,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--fuel_consumption,transforms--emission_rate,transforms--elec_cogen_rate
ThermalSteam,DJJ_coal_CHP,DJJ,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_DJJ,1883000,0,17816,3.55,500,50,0.2,6,6,0.64,0.64,0.41,Coal,TRUE,FALSE,coal_source,Electricity,TRUE,FALSE,elec_DJJ,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.37,0.181048235,0.74
ThermalSteam,USN_natgas_CHP,USN,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_USN,996000,0,18274,3.8,500,50,0.2,6,6,0.64,0.64,0.41,NaturalGas,TRUE,FALSE,natgas_source,Electricity,TRUE,FALSE,elec_USN,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.45,0.181,1.125
ThermalSteam,USN_coal_CHP,USN,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_USN,1883000,0,17816,3.55,500,50,0.2,6,6,0.64,0.64,0.41,Coal,TRUE,FALSE,coal_source,Electricity,TRUE,FALSE,elec_USN,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.37,0.181048235,0.74
ThermalSteam,SJG_natgas_CHP,SJG,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_SJG,996000,0,18274,3.8,500,50,0.2,6,6,0.64,0.64,0.41,NaturalGas,TRUE,FALSE,natgas_source,Electricity,TRUE,FALSE,elec_SJG,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.45,0.181,1.125
ThermalSteam,SJG_coal_CHP,SJG,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_SJG,1883000,0,17816,3.55,500,50,0.2,6,6,0.64,0.64,0.41,Coal,TRUE,FALSE,coal_source,Electricity,TRUE,FALSE,elec_SJG,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.37,0.181048235,0.74
ThermalSteam,GGI_natgas_CHP,GGI,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_GGI,996000,0,18274,3.8,500,50,0.2,6,6,0.64,0.64,0.41,NaturalGas,TRUE,FALSE,natgas_source,Electricity,TRUE,FALSE,elec_GGI,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.45,0.181,1.125
ThermalSteam,GGI_coal_CHP,GGI,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_GGI,1883000,0,17816,3.55,500,50,0.2,6,6,0.64,0.64,0.41,Coal,TRUE,FALSE,coal_source,Electricity,TRUE,FALSE,elec_GGI,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.37,0.181048235,0.74
ThermalSteam,GWN_natgas_CHP,GWN,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_GWN,996000,0,18274,3.8,500,50,0.2,6,6,0.64,0.64,0.41,NaturalGas,TRUE,FALSE,natgas_source,Electricity,TRUE,FALSE,elec_GWN,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.45,0.181,1.125
ThermalSteam,GWN_coal_CHP,GWN,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_GWN,1883000,0,17816,3.55,500,50,0.2,6,6,0.64,0.64,0.41,Coal,TRUE,FALSE,coal_source,Electricity,TRUE,FALSE,elec_GWN,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.37,0.181048235,0.74
ThermalSteam,CNB_natgas_CHP,CNB,Steam,TRUE,TRUE,FALSE,FALSE,30,TRUE,TRUE,TRUE,heat_CNB,996000,0,18274,3.8,500,50,0.2,6,6,0.64,0.64,0.41,NaturalGas,TRUE,FALSE,natgas_source,Electricity,TRUE,FALSE,elec_CNB,CO2,TRUE,FALSE,co2_sink_KR,Steam,TRUE,0.45,0.181,1.125
