Time_index,AC_price1,AC_max1,AL_price1,AL_max1,AP_price1,AP_max1,AM_price1,AM_max1,BA_price1,BA_max1,BA_price2,BA_max2,BA_price3,BA_max3,CE_price1,CE_max1,DF_price1,DF_max1,DF_price2,DF_max2,DF_price3,DF_max3,ES_price1,ES_max1,GO_price1,GO_max1,GO_price2,GO_max2,GO_price3,GO_max3,MA_price1,MA_max1,MT_price1,MT_max1,MT_price2,MT_max2,MT_price3,MT_max3,MS_price1,MS_max1,MS_price2,MS_max2,MS_price3,MS_max3,MG_price1,MG_max1,MG_price2,MG_max2,MG_price3,MG_max3,PA_price1,PA_max1,PB_price1,PB_max1,PR_price1,PR_max1,PR_price2,PR_max2,PR_price3,PR_max3,PE_price1,PE_max1,PI_price1,PI_max1,RJ_price1,RJ_max1,RN_price1,RN_max1,RS_price1,RS_max1,RO_price1,RO_max1,RO_price2,RO_max2,RR_price1,RR_max1,SC_price1,SC_max1,SP_price1,SP_max1,SP_price2,SP_max2,SP_price3,SP_max3,SE_price1,SE_max1,TO_price1,TO_max1,TO_price2,TO_max2,TO_price3,TO_max3
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.06666666666666667,159.0,0.4666666666666667,164.0,0.3333333333333333,0.0,0.0,64.0,4.366666666666666,84.0,2.6,135.0,4.9,164.0,1.4333333333333333,63.0,0.16666666666666666,107.0,69391.1,162.0,13257.833333333334,0.0,0.0,65.0,0.36666666666666664,108.0,145336.26666666666,151.0,32407.333333333332,61.0,17.1,102.0,58252.5,148.0,33754.23333333333,65.0,0.1,120.0,40165.666666666664,180.0,19047.5,0.0,0.0,0.0,0.0,83.0,0.36666666666666664,131.0,7565.733333333334,180.0,465.6333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.06666666666666667,144.0,0.13333333333333333,0.0,0.0,174.0,0.06666666666666667,75.0,0.16666666666666666,127.0,26221.633333333335,180.0,712.3333333333334,0.0,0.0,70.0,0.06666666666666667,87.0,0.3,144.0,0.3
