Time_Index,Availability_One,Availability_ch,Availability_disch_N,Availability_disch_NE,Availability_disch_CW,Availability_disch_SE,Availability_disch_S,Availability_residue_N,Availability_residue_NE,Availability_residue_CW,Availability_residue_SE,Availability_residue_S,Availability_disch_corn_N,Availability_disch_corn_NE,Availability_disch_corn_CW,Availability_disch_corn_SE,Availability_disch_corn_S,Availability_residue_corn_N,Availability_residue_corn_NE,Availability_residue_corn_CW,Availability_residue_corn_SE,Availability_residue_corn_S,Availability_disch_soybean_N,Availability_disch_soybean_NE,Availability_disch_soybean_CW,Availability_disch_soybean_SE,Availability_disch_soybean_S,Availability_residue_soybean_N,Availability_residue_soybean_NE,Availability_residue_soybean_CW,Availability_residue_soybean_SE,Availability_residue_soybean_S
20,1,0,0.05,0.124,0.085,0.052,0.05,0.05,0.124,0.085,0.052,0.05,0.121129995,0.121129995,0.121129995,0.121129995,0.121129995,0.05,0.05,0.05,0.25,0.35,0.106651939,0.105491005,0.122792086,0.119762265,0.120202587,0.05,0.05,0.3,0.3,0.05
21,1,0,0.05,0.124,0.085,0.052,0.05,0.05,0.124,0.085,0.052,0.05,0.121129995,0.121129995,0.121129995,0.121129995,0.121129995,0.05,0.05,0.05,0.25,0.35,0.106651939,0.105491005,0.122792086,0.119762265,0.120202587,0.05,0.05,0.3,0.3,0.05
22,1,0,0.05,0.124,0.085,0.052,0.05,0.05,0.124,0.085,0.052,0.05,0.121129995,0.121129995,0.121129995,0.121129995,0.121129995,0.05,0.05,0.05,0.25,0.35,0.106651939,0.105491005,0.122792086,0.119762265,0.120202587,0.05,0.05,0.3,0.3,0.05
23,1,0,0.05,0.124,0.085,0.052,0.05,0.05,0.124,0.085,0.052,0.05,0.121129995,0.121129995,0.121129995,0.121129995,0.121129995,0.05,0.05,0.05,0.25,0.35,0.106651939,0.105491005,0.122792086,0.119762265,0.120202587,0.05,0.05,0.3,0.3,0.05
24,1,0,0.05,0.124,0.085,0.052,0.05,0.05,0.124,0.085,0.052,0.05,0.121129995,0.121129995,0.121129995,0.121129995,0.121129995,0.05,0.05,0.05,0.25,0.35,0.106651939,0.105491005,0.122792086,0.119762265,0.120202587,0.05,0.05,0.3,0.3,0.05
25,1,0,0.05,0.124,0.085,0.052,0.05,0.05,0.124,0.085,0.052,0.05,0.121129995,0.121129995,0.121129995,0.121129995,0.121129995,0.05,0.05,0.05,0.25,0.35,0.106651939,0.105491005,0.122792086,0.119762265,0.120202587,0.05,0.05,0.3,0.3,0.05
26,1,0,0.05,0.124,0.085,0.052,0.05,0.05,0.124,0.085,0.052,0.05,0.121129995,0.121129995,0.121129995,0.121129995,0.121129995,0.05,0.05,0.05,0.25,0.35,0.106651939,0.105491005,0.122792086,0.119762265,0.120202587,0.05,0.05,0.3,0.3,0.05
27,1,0,0.05,0.124,0.085,0.052,0.05,0.05,0.124,0.085,0.052,0.05,0.121129995,0.121129995,0.121129995,0.121129995,0.121129995,0.05,0.05,0.05,0.25,0.35,0.106651939,0.105491005,0.122792086,0.119762265,0.120202587,0.05,0.05,0.3,0.3,0.05
28,1,0,0.05,0.124,0.085,0.052,0.05,0.05,0.124,0.085,0.052,0.05,0.121129995,0.121129995,0.121129995,0.121129995,0.121129995,0.05,0.05,0.05,0.25,0.35,0.106651939,0.105491005,0.122792086,0.119762265,0.120202587,0.05,0.05,0.3,0.3,0.05
29,1,0,0.05,0.124,0.085,0.052,0.05,0.05,0.124,0.085,0.052,0.05,0.121129995,0.121129995,0.121129995,0.121129995,0.121129995,0.05,0.05,0.05,0.25,0.35,0.106651939,0.105491005,0.122792086,0.119762265,0.120202587,0.05,0.05,0.3,0.3,0.05
