Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--diesel_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--diesel_edge--commodity,edges--diesel_edge--unidirectional,edges--diesel_edge--has_capacity,edges--diesel_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSDiesel,BR_PA_Soybean_Biodiesel_large,BR_PA,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_PA,791.73,658.38,26.34,28.44,238140,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_PA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PA
BECCSDiesel,BR_PB_Soybean_Biodiesel_large,BR_PB,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_PB,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_PB,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PB
BECCSDiesel,BR_PR_Soybean_Biodiesel_large,BR_PE,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_PR,791.73,658.38,26.34,28.44,1009940.4,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_PR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PR
BECCSDiesel,BR_PE_Soybean_Biodiesel_large,BR_PI,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_PE,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_PE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PE
BECCSDiesel,BR_PI_Soybean_Biodiesel_large,BR_PR,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_PI,791.73,658.38,26.34,28.44,56700,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_PI,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PI
BECCSDiesel,BR_RJ_Soybean_Biodiesel_large,BR_RJ,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_RJ,791.73,658.38,26.34,28.44,139935.6,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_RJ,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RJ
BECCSDiesel,BR_RN_Soybean_Biodiesel_large,BR_RN,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_RN,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_RN,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RN
BECCSDiesel,BR_RS_Soybean_Biodiesel_large,BR_RO,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_RS,791.73,658.38,26.34,28.44,2128064.4,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_RS,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RS
BECCSDiesel,BR_RO_Soybean_Biodiesel_large,BR_RR,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_RO,791.73,658.38,26.34,28.44,156492,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_RO,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RO
BECCSDiesel,BR_RR_Soybean_Biodiesel_large,BR_RS,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_RR,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_RR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RR
BECCSDiesel,BR_SC_Soybean_Biodiesel_large,BR_SC,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_SC,791.73,658.38,26.34,28.44,348138,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_SC,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SC
BECCSDiesel,BR_SP_Soybean_Biodiesel_large,BR_SE,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_SP,791.73,658.38,26.34,28.44,297561.6,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_SP,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SP
BECCSDiesel,BR_SE_Soybean_Biodiesel_large,BR_SP,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_SE,791.73,658.38,26.34,28.44,0,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_SE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SE
BECCSDiesel,BR_TO_Soybean_Biodiesel_large,BR_TO,Biomass,TRUE,1.8,0,0,1.613,1.285,Soybean,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,soybean_BR_TO,791.73,658.38,26.34,28.44,181440,system/availability_monthly.csv,Availability_One,Diesel,TRUE,FALSE,biodiesel_BR,Electricity,TRUE,FALSE,elec_BR_TO,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_TO
