Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--ethanol_production,transforms--bagasse_production,transforms--food_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--lifetime,edges--biomass_edge--retirement_period,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--ethanol_edge--commodity,edges--ethanol_edge--unidirectional,edges--ethanol_edge--has_capacity,edges--ethanol_edge--end_vertex,edges--bagasse_edge--commodity,edges--bagasse_edge--unidirectional,edges--bagasse_edge--has_capacity,edges--bagasse_edge--end_vertex,edges--food_edge--commodity,edges--food_edge--unidirectional,edges--food_edge--has_capacity,edges--food_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--unidirectional,edges--elec_consumption_edge--has_capacity,edges--elec_consumption_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSEthanol,BR_MT_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_MT,1625,3032000,192523.71,3.59,1288410,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_MT,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_MS_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_MS,1625,3032000,192523.71,3.59,3027030,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_MS,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_MG_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_MG,1625,3032000,192523.71,3.59,3962760,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_MG,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_PA_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_PA,1625,3032000,192523.71,3.59,62850,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_PA,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_PB_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_PB,1625,3032000,192523.71,3.59,516150,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_PB,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_PR_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_PR,1625,3032000,192523.71,3.59,2015910,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_PR,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_PE_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_PE,1625,3032000,192523.71,3.59,728400,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_PE,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_PI_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_PI,1625,3032000,192523.71,3.59,64740,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_PI,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_RJ_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_RJ,1625,3032000,192523.71,3.59,147780,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_RJ,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_RN_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_RN,1625,3032000,192523.71,3.59,141600,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_RN,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_RS_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_RS,1625,3032000,192523.71,3.59,6000,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_RS,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_RO_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_RO,1625,3032000,192523.71,3.59,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_RO,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_RR_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_RR,1625,3032000,192523.71,3.59,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_RR,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_SC_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_SC,1625,3032000,192523.71,3.59,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_SC,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_SP_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_SP,1625,3032000,192523.71,3.59,1768710,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_SP,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_SE_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_SE,1625,3032000,192523.71,3.59,189810,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_SE,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_TO_BECCS_sugarcane_ethanol_large,Biomass,TRUE,0.63,0.63,0,0.15,0.67,1.72,1.05,Sugarcane,TRUE,TRUE,TRUE,FALSE,10,5,FALSE,TRUE,sugarcane_harvested_BR_TO,1625,3032000,192523.71,3.59,230070,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_TO,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_AC_BECCS_Lignocellulosic_Ethanol_large,Biomass,TRUE,2.02,0,0,0.1679,0.67,1.55,1.55,Residue,TRUE,TRUE,TRUE,TRUE,10,5,FALSE,TRUE,residue_BR_AC,1625,6590220,263594.12,171.69,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_AC,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_AL_BECCS_Lignocellulosic_Ethanol_large,Biomass,TRUE,2.02,0,0,0.1679,0.67,1.55,1.55,Residue,TRUE,TRUE,TRUE,TRUE,10,5,FALSE,TRUE,residue_BR_AL,1625,6590220,263594.12,171.69,54079.2,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_AL,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_AP_BECCS_Lignocellulosic_Ethanol_large,Biomass,TRUE,2.02,0,0,0.1679,0.67,1.55,1.55,Residue,TRUE,TRUE,TRUE,TRUE,10,5,FALSE,TRUE,residue_BR_AP,1625,6590220,263594.12,171.69,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_AP,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_AM_BECCS_Lignocellulosic_Ethanol_large,Biomass,TRUE,2.02,0,0,0.1679,0.67,1.55,1.55,Residue,TRUE,TRUE,TRUE,TRUE,10,5,FALSE,TRUE,residue_BR_AM,1625,6590220,263594.12,171.69,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_AM,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_BA_BECCS_Lignocellulosic_Ethanol_large,Biomass,TRUE,2.02,0,0,0.1679,0.67,1.55,1.55,Residue,TRUE,TRUE,TRUE,TRUE,10,5,FALSE,TRUE,residue_BR_BA,1625,6590220,263594.12,171.69,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_BA,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_CE_BECCS_Lignocellulosic_Ethanol_large,Biomass,TRUE,2.02,0,0,0.1679,0.67,1.55,1.55,Residue,TRUE,TRUE,TRUE,TRUE,10,5,FALSE,TRUE,residue_BR_CE,1625,6590220,263594.12,171.69,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_CE,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_DF_BECCS_Lignocellulosic_Ethanol_large,Biomass,TRUE,2.02,0,0,0.1679,0.67,1.55,1.55,Residue,TRUE,TRUE,TRUE,TRUE,10,5,FALSE,TRUE,residue_BR_DF,1625,6590220,263594.12,171.69,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_DF,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_ES_BECCS_Lignocellulosic_Ethanol_large,Biomass,TRUE,2.02,0,0,0.1679,0.67,1.55,1.55,Residue,TRUE,TRUE,TRUE,TRUE,10,5,FALSE,TRUE,residue_BR_ES,1625,6590220,263594.12,171.69,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_ES,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_GO_BECCS_Lignocellulosic_Ethanol_large,Biomass,TRUE,2.02,0,0,0.1679,0.67,1.55,1.55,Residue,TRUE,TRUE,TRUE,TRUE,10,5,FALSE,TRUE,residue_BR_GO,1625,6590220,263594.12,171.69,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_GO,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_MA_BECCS_Lignocellulosic_Ethanol_large,Biomass,TRUE,2.02,0,0,0.1679,0.67,1.55,1.55,Residue,TRUE,TRUE,TRUE,TRUE,10,5,FALSE,TRUE,residue_BR_MA,1625,6590220,263594.12,171.69,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_MA,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSEthanol,BR_MT_BECCS_Lignocellulosic_Ethanol_large,Biomass,TRUE,2.02,0,0,0.1679,0.67,1.55,1.55,Residue,TRUE,TRUE,TRUE,TRUE,10,5,FALSE,TRUE,residue_BR_MT,1625,6590220,263594.12,171.69,0,system/availability.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_MT,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
