Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--nh3_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--nh3_edge--commodity,edges--nh3_edge--unidirectional,edges--nh3_edge--has_capacity,edges--nh3_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSAmmonia,BR_AM_residue_nh3_CCS,BR_AM,Biomass,TRUE,2.26,0.1,1.403,0,0.156,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_AM,188.6,14106866.4,564278.4,2844,0,system/availability_monthly.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR_AM,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_AM
BECCSAmmonia,BR_BA_residue_nh3_CCS,BR_BA,Biomass,TRUE,2.26,0.1,1.403,0,0.156,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_BA,188.6,14106866.4,564278.4,2844,0,system/availability_monthly.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR_BA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_BA
BECCSAmmonia,BR_CE_residue_nh3_CCS,BR_CE,Biomass,TRUE,2.26,0.1,1.403,0,0.156,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_CE,188.6,14106866.4,564278.4,2844,0,system/availability_monthly.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR_CE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_CE
BECCSAmmonia,BR_DF_residue_nh3_CCS,BR_DF,Biomass,TRUE,2.26,0.1,1.403,0,0.156,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_DF,188.6,14106866.4,564278.4,2844,0,system/availability_monthly.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR_DF,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_DF
BECCSAmmonia,BR_ES_residue_nh3_CCS,BR_ES,Biomass,TRUE,2.26,0.1,1.403,0,0.156,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_ES,188.6,14106866.4,564278.4,2844,0,system/availability_monthly.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR_ES,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_ES
BECCSAmmonia,BR_GO_residue_nh3_CCS,BR_GO,Biomass,TRUE,2.26,0.1,1.403,0,0.156,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_GO,188.6,14106866.4,564278.4,2844,0,system/availability_monthly.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR_GO,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_GO
BECCSAmmonia,BR_MA_residue_nh3_CCS,BR_MA,Biomass,TRUE,2.26,0.1,1.403,0,0.156,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_MA,188.6,14106866.4,564278.4,2844,0,system/availability_monthly.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR_MA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MA
BECCSAmmonia,BR_MT_residue_nh3_CCS,BR_MT,Biomass,TRUE,2.26,0.1,1.403,0,0.156,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_MT,188.6,14106866.4,564278.4,2844,0,system/availability_monthly.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR_MT,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MT
BECCSAmmonia,BR_MS_residue_nh3_CCS,BR_MS,Biomass,TRUE,2.26,0.1,1.403,0,0.156,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_MS,188.6,14106866.4,564278.4,2844,0,system/availability_monthly.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR_MS,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MS
BECCSAmmonia,BR_MG_residue_nh3_CCS,BR_MG,Biomass,TRUE,2.26,0.1,1.403,0,0.156,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_MG,188.6,14106866.4,564278.4,2844,0,system/availability_monthly.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR_MG,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MG
BECCSAmmonia,BR_PA_residue_nh3_CCS,BR_PA,Biomass,TRUE,2.26,0.1,1.403,0,0.156,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_PA,188.6,14106866.4,564278.4,2844,0,system/availability_monthly.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR_PA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PA
BECCSAmmonia,BR_PB_residue_nh3_CCS,BR_PB,Biomass,TRUE,2.26,0.1,1.403,0,0.156,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_PB,188.6,14106866.4,564278.4,2844,0,system/availability_monthly.csv,Availability_One,Ammonia,TRUE,FALSE,nh3_BR,Electricity,TRUE,FALSE,elec_BR_PB,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PB
