Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--hydrogen_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--h2_edge--commodity,edges--h2_edge--unidirectional,edges--h2_edge--has_capacity,edges--h2_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSHydrogen,BR_GO_wood_H2_CCS,BR_GO,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_GO,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_GO,Electricity,TRUE,FALSE,elec_BR_GO,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_GO
BECCSHydrogen,BR_MA_wood_H2_CCS,BR_MA,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_MA,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_MA,Electricity,TRUE,FALSE,elec_BR_MA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MA
BECCSHydrogen,BR_MT_wood_H2_CCS,BR_MT,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_MT,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_MT,Electricity,TRUE,FALSE,elec_BR_MT,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MT
BECCSHydrogen,BR_MS_wood_H2_CCS,BR_MS,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_MS,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_MS,Electricity,TRUE,FALSE,elec_BR_MS,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MS
BECCSHydrogen,BR_MG_wood_H2_CCS,BR_MG,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_MG,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_MG,Electricity,TRUE,FALSE,elec_BR_MG,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_MG
BECCSHydrogen,BR_PA_wood_H2_CCS,BR_PA,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_PA,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_PA,Electricity,TRUE,FALSE,elec_BR_PA,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PA
BECCSHydrogen,BR_PB_wood_H2_CCS,BR_PB,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_PB,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_PB,Electricity,TRUE,FALSE,elec_BR_PB,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PB
BECCSHydrogen,BR_PR_wood_H2_CCS,BR_PR,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_PR,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_PR,Electricity,TRUE,FALSE,elec_BR_PR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PR
BECCSHydrogen,BR_PE_wood_H2_CCS,BR_PE,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_PE,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_PE,Electricity,TRUE,FALSE,elec_BR_PE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PE
BECCSHydrogen,BR_PI_wood_H2_CCS,BR_PI,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_PI,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_PI,Electricity,TRUE,FALSE,elec_BR_PI,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_PI
BECCSHydrogen,BR_RJ_wood_H2_CCS,BR_RJ,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_RJ,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_RJ,Electricity,TRUE,FALSE,elec_BR_RJ,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RJ
BECCSHydrogen,BR_RN_wood_H2_CCS,BR_RN,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_RN,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_RN,Electricity,TRUE,FALSE,elec_BR_RN,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RN
BECCSHydrogen,BR_RS_wood_H2_CCS,BR_RS,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_RS,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_RS,Electricity,TRUE,FALSE,elec_BR_RS,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RS
BECCSHydrogen,BR_RO_wood_H2_CCS,BR_RO,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_RO,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_RO,Electricity,TRUE,FALSE,elec_BR_RO,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RO
BECCSHydrogen,BR_RR_wood_H2_CCS,BR_RR,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_RR,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_RR,Electricity,TRUE,FALSE,elec_BR_RR,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_RR
BECCSHydrogen,BR_SC_wood_H2_CCS,BR_SC,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_SC,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_SC,Electricity,TRUE,FALSE,elec_BR_SC,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SC
BECCSHydrogen,BR_SP_wood_H2_CCS,BR_SP,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_SP,153.16,11312490,203624.82,52.53,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_SP,Electricity,TRUE,FALSE,elec_BR_SP,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SP
BECCSHydrogen,BR_SE_wood_H2_CCS,BR_SE,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_SE,153.16,7464182.4,298562.4,32.72,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_SE,Electricity,TRUE,FALSE,elec_BR_SE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SE
BECCSHydrogen,BR_TO_wood_H2_CCS,BR_TO,Biomass,TRUE,3.1,0,1.558,1.558,0,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_TO,153.16,7464182.4,298562.4,32.72,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR_TO,Electricity,TRUE,FALSE,elec_BR_TO,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_TO
